Feature,Importance
categorical__Contract_Month-to-month,0.164743676409784
numerical__tenure,0.1177018986705369
categorical__Contract_Two year,0.09776295676648615
categorical__OnlineSecurity_No,0.08862115738364265
numerical__TotalCharges,0.06936479906461647
categorical__InternetService_Fiber optic,0.059404314845792394
categorical__TechSupport_No,0.053626028271164805
numerical__MonthlyCharges,0.03810018651936647
categorical__PaymentMethod_Electronic check,0.03662949063084104
categorical__OnlineBackup_No,0.029734897195346898
categorical__Contract_One year,0.026313532733133957
categorical__InternetService_DSL,0.021475558694354135
categorical__OnlineSecurity_Yes,0.018261272117524256
categorical__TechSupport_No internet service,0.014843879456356826
categorical__StreamingMovies_No internet service,0.014529716552849495
categorical__DeviceProtection_No internet service,0.01293936654398177
categorical__StreamingTV_No internet service,0.012725890043662818
categorical__InternetService_No,0.009753320218661729
categorical__PaperlessBilling_Yes,0.009085846481798493
categorical__TechSupport_Yes,0.009076397714103603
categorical__DeviceProtection_No,0.008313644557574983
categorical__OnlineBackup_No internet service,0.007666727475854322
categorical__PaperlessBilling_No,0.0060117270077283775
categorical__OnlineBackup_Yes,0.005184516676492649
categorical__OnlineSecurity_No internet service,0.004972363569578435
categorical__StreamingMovies_Yes,0.004903246160451364
categorical__Dependents_No,0.004770565617787326
categorical__Partner_No,0.00446509673279939
categorical__Dependents_Yes,0.00415577598775286
categorical__PaymentMethod_Bank transfer (automatic),0.003657076525471256
categorical__Partner_Yes,0.0035255498034142997
categorical__PaymentMethod_Credit card (automatic),0.0035138463804485066
categorical__PaymentMethod_Mailed check,0.003200762846864012
categorical__StreamingTV_Yes,0.0031937197432110927
categorical__StreamingMovies_No,0.0030476875785003825
categorical__StreamingTV_No,0.0029659690929607256
categorical__MultipleLines_Yes,0.0027843986563987067
categorical__MultipleLines_No,0.0026698668027220727
categorical__SeniorCitizen_0,0.0025841780491901514
categorical__SeniorCitizen_1,0.002523398853168418
categorical__PhoneService_No,0.0022120470383931693
categorical__gender_Male,0.0021936124874925066
categorical__DeviceProtection_Yes,0.0020146977984926238
categorical__gender_Female,0.0019961294434406797
categorical__PhoneService_Yes,0.0014946491935531716
categorical__MultipleLines_No phone service,0.0012845596062538882
